frontal_axis_reading(g),vertical_axis_reading(g),lateral_axis_reading(g),activity
1.0107,-0.19751,-0.11631,3
0.91693,-0.17454,-0.17333,3
0.91693,-0.17454,-0.17333,3
0.88175,-0.15158,-0.16192,3
0.88175,-0.15158,-0.16192,3
0.88175,-0.15158,-0.16192,3
1.128,-0.24344,-0.070699,3
1.128,-0.24344,-0.070699,3
0.9052,-0.17454,-0.16192,3
0.9052,-0.17454,-0.16192,3
0.9052,-0.17454,-0.16192,3
0.88175,-0.17454,-0.16192,3
0.88175,-0.17454,-0.16192,3
0.88175,-0.17454,-0.16192,3
0.94038,0.1355,-0.32157,3
0.94038,0.1355,-0.32157,3
0.94038,0.1355,-0.32157,3
0.7176,0.89339,0.043332,1
0.7176,0.89339,0.043332,1
0.7176,0.89339,0.043332,1
0.7176,0.89339,0.043332,1
0.7176,0.89339,0.043332,1
0.7176,0.89339,0.043332,1
0.42446,0.96229,-0.082102,1
0.23685,1.0082,-0.12771,1
0.23685,1.0082,-0.12771,1
0.23685,1.0082,-0.12771,1
0.23685,1.0082,-0.12771,1
0.29548,0.99674,-0.082102,1
0.29548,0.99674,-0.082102,1
0.29548,0.99674,-0.082102,1
0.33066,0.99674,-0.070699,1
0.33066,0.99674,-0.070699,1
0.33066,0.99674,-0.070699,1
0.55344,0.89339,0.0091224,1
0.55344,0.89339,0.0091224,1
0.37756,0.97377,-0.059296,1
0.37756,0.97377,-0.059296,1
0.37756,0.97377,-0.059296,1
0.31893,0.97377,-0.082102,1
0.31893,0.97377,-0.082102,1
0.31893,0.97377,-0.082102,1
0.31893,0.97377,-0.082102,1
0.30721,0.99674,-0.070699,1
0.30721,0.99674,-0.070699,1
0.33066,0.98526,-0.082102,1
0.33066,0.98526,-0.082102,1
0.33066,0.98526,-0.082102,1
0.33066,0.98526,-0.082102,1
0.33066,0.98526,-0.082102,1
0.28376,1.0082,-0.11631,1
0.28376,1.0082,-0.11631,1
0.28376,1.0082,-0.11631,1
0.28376,1.0082,-0.11631,1
0.54171,0.90487,0.0091224,1
0.54171,0.90487,0.0091224,1
0.54171,0.90487,0.0091224,1
0.54171,0.90487,0.0091224,1
0.54171,0.90487,0.0091224,1
0.29548,0.99674,-0.10491,1
0.29548,0.99674,-0.10491,1
0.29548,0.99674,-0.10491,1
0.29548,0.99674,-0.10491,1
0.41273,0.93932,-0.025087,1
0.41273,0.93932,-0.025087,4
0.22513,0.89339,-0.17333,4
0.60034,1.0082,-0.047893,4
0.2603,0.99674,-0.059296,4
0.83485,0.67521,-0.13912,2
0.83485,0.67521,-0.13912,2
0.88175,0.66373,-0.082102,2
0.88175,0.64076,-0.093505,2
0.84658,0.66373,-0.12771,2
0.84658,0.66373,-0.12771,2
1.0928,0.5489,-0.013684,2
0.83485,0.66373,-0.12771,2
1.0928,0.56038,-0.013684,2
0.78795,0.67521,-0.15052,2
0.78795,0.67521,-0.15052,2
0.8583,0.65224,-0.10491,2
0.8583,0.66373,-0.10491,2
0.8583,0.66373,-0.10491,2
0.89348,0.62928,-0.093505,2
0.89348,0.62928,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.64076,-0.093505,2
0.8583,0.62928,-0.10491,2
0.9052,0.62928,-0.093505,2
0.9052,0.62928,-0.093505,2
0.96383,0.60631,-0.047893,2
0.96383,0.60631,-0.047893,2
0.88175,0.64076,-0.082102,2
0.88175,0.64076,-0.082102,2
0.88175,0.64076,-0.082102,2
1.1163,0.5489,-0.013684,2
1.1163,0.5489,-0.013684,2
1.1163,0.5489,-0.013684,2
0.84658,0.65224,-0.10491,2
0.84658,0.65224,-0.10491,2
0.88175,0.64076,-0.070699,2
0.88175,0.64076,-0.070699,2
0.88175,0.64076,-0.070699,2
0.88175,0.64076,-0.070699,2
0.87003,0.64076,-0.10491,2
0.87003,0.64076,-0.10491,2
0.87003,0.65224,-0.10491,2
0.87003,0.65224,-0.10491,2
0.87003,0.65224,-0.10491,2
0.87003,0.65224,-0.10491,2
0.87003,0.65224,-0.10491,2
0.89348,0.62928,-0.093505,2
0.89348,0.62928,-0.093505,2
0.89348,0.62928,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.64076,-0.093505,2
0.88175,0.62928,-0.10491,2
0.82312,0.68669,-0.13912,2
0.87003,0.64076,-0.11631,2
0.84658,0.66373,-0.13912,2
0.77622,0.66373,0.020525,4
0.096148,0.93932,-0.16192,4
0.096148,0.93932,-0.16192,4
-0.51357,0.98526,-0.25315,1
-0.51357,0.98526,-0.25315,1
-0.51357,0.98526,-0.25315,1
-0.51357,0.98526,-0.25315,1
0.92865,0.26182,-0.13912,3
1.2335,-0.15158,-0.12771,3
1.0928,-0.25493,-0.03649,3
1.2101,-0.31234,0.077541,3
1.2687,-0.32383,0.043332,3
1.0928,-0.28938,-0.059296,3
1.2687,-0.36976,0.0091224,3
1.2921,-0.38124,0.020525,3
1.2921,-0.38124,0.020525,3
1.0694,-0.26641,-0.082102,3
1.0928,-0.26641,-0.082102,3
1.0928,-0.26641,-0.082102,3
1.128,-0.28938,-0.059296,3
0.91693,-0.18603,-0.12771,3
0.91693,-0.18603,-0.12771,3
0.9521,-0.18603,-0.12771,3
1.2687,-0.33531,0.020525,3
1.0107,-0.23196,-0.10491,3
1.0107,-0.23196,-0.10491,3
0.88175,-0.18603,-0.13912,3
0.88175,-0.18603,-0.13912,3
0.91693,-0.19751,-0.12771,3
0.99901,-0.22048,-0.11631,3
0.99901,-0.22048,-0.11631,3
0.99901,-0.22048,-0.11631,3
1.1397,-0.28938,-0.013684,3
0.91693,-0.18603,-0.13912,3
0.91693,-0.18603,-0.13912,3
0.91693,-0.18603,-0.13912,3
1.1632,-0.30086,-0.03649,3
0.91693,-0.19751,-0.12771,3
1.1514,-0.27789,-0.025087,3
1.0107,-0.19751,-0.093505,3
0.88175,-0.18603,-0.13912,3
0.96383,-0.19751,-0.11631,3
0.9052,-0.19751,-0.12771,3
1.0225,-0.20899,-0.10491,3
1.0342,-0.19751,-0.093505,3
0.92865,-0.18603,-0.10491,3
1.1163,-0.26641,-0.03649,3
0.94038,-0.19751,-0.11631,3
0.91693,-0.18603,-0.11631,3
0.92865,-0.19751,-0.11631,3
1.1045,-0.27789,-0.047893,3
1.0694,-0.23196,-0.082102,3
0.91693,-0.19751,-0.12771,3
1.0459,-0.24344,-0.082102,3
1.0459,-0.24344,-0.082102,3
1.1163,-0.26641,-0.025087,3
1.1163,-0.26641,-0.025087,3
0.96383,-0.19751,-0.11631,3
1.1045,-0.26641,-0.03649,3
0.92865,-0.19751,-0.11631,3
0.91693,-0.19751,-0.11631,3
0.94038,-0.19751,-0.10491,3
0.94038,-0.19751,-0.10491,3
0.9052,-0.18603,-0.12771,3
0.92865,-0.18603,-0.10491,3
1.2804,-0.35827,0.031928,3
0.92865,-0.20899,-0.10491,3
1.128,-0.27789,-0.03649,3
1.0694,-0.24344,-0.047893,3
0.91693,-0.18603,-0.11631,3
0.9521,-0.19751,-0.10491,3
0.9521,-0.19751,-0.10491,3
0.88175,-0.19751,-0.12771,3
0.9521,-0.19751,-0.11631,3
0.92865,-0.19751,-0.10491,3
1.1045,-0.26641,-0.025087,3
1.1045,-0.26641,-0.025087,3
0.9052,-0.19751,-0.11631,3
0.9052,-0.19751,-0.11631,3
0.9052,-0.19751,-0.12771,3
0.9052,-0.19751,-0.12771,3
0.88175,-0.19751,-0.12771,3
0.94038,-0.20899,-0.11631,3
1.2101,-0.32383,0.0091224,3
1.2101,-0.32383,0.0091224,3
1.0342,-0.22048,-0.082102,3
0.88175,-0.19751,-0.12771,3
0.89348,-0.19751,-0.12771,3
1.1866,-0.31234,-0.0022806,3
0.92865,-0.19751,-0.11631,3
0.91693,-0.19751,-0.11631,3
0.97555,-0.19751,-0.11631,3
0.98728,-0.20899,-0.10491,3
1.1514,-0.30086,-0.013684,3
0.92865,-0.18603,-0.10491,3
1.0107,-0.20899,-0.082102,3
1.1163,-0.28938,-0.03649,3
1.1163,-0.28938,-0.03649,3
0.9052,-0.19751,-0.11631,3
0.9521,-0.19751,-0.10491,3
0.94038,-0.19751,-0.11631,3
0.91693,-0.19751,-0.11631,3
0.91693,-0.19751,-0.11631,3
1.1163,-0.24344,-0.03649,3
0.94038,-0.20899,-0.12771,3
1.1397,-0.27789,-0.025087,3
1.1045,-0.26641,-0.03649,3
0.89348,-0.19751,-0.12771,3
0.9052,-0.19751,-0.12771,3
1.2218,-0.32383,0.020525,3
0.87003,0.46851,0.0091224,1
0.87003,0.46851,0.0091224,1
0.87003,0.46851,0.0091224,1
0.87003,0.46851,0.0091224,1
0.87003,0.46851,0.0091224,1
0.87003,0.46851,0.0091224,1
-0.0093803,0.95081,-0.11631,1
-0.0093803,0.95081,-0.11631,1
-0.044557,0.93932,0.11175,4
-0.044557,0.93932,0.11175,4
-0.044557,0.93932,0.11175,1
-0.044557,0.93932,0.11175,1
0.61207,0.89339,0.0091224,1
0.61207,0.89339,0.0091224,1
0.69414,0.83597,0.054735,1
0.54171,0.90487,0.0091224,1
0.58862,0.87042,-0.03649,1
0.58862,0.87042,-0.03649,1
0.43619,0.96229,-0.070699,1
0.43619,0.96229,-0.070699,1
0.55344,0.89339,-0.025087,1
0.55344,0.89339,-0.025087,1
0.55344,0.89339,-0.025087,1
0.54171,0.90487,-0.013684,1
0.54171,0.90487,-0.013684,1
0.54171,0.90487,-0.013684,1
0.54171,0.90487,-0.013684,1
0.48309,0.93932,-0.03649,1
0.44791,0.96229,-0.070699,1
0.7645,0.81301,0.066138,1
0.54171,0.88191,-0.025087,1
0.54171,0.88191,-0.025087,1
0.54171,0.88191,-0.025087,1
0.54171,0.88191,-0.025087,1
0.54171,0.88191,-0.025087,1
0.58862,0.87042,0.0091224,1
0.58862,0.87042,0.0091224,1
0.54171,0.90487,-0.013684,1
0.54171,0.90487,-0.013684,1
0.54171,0.90487,-0.013684,1
0.67069,0.84746,0.031928,1
0.67069,0.84746,0.031928,1
0.67069,0.84746,0.031928,1
0.67069,0.84746,0.031928,1
0.55344,0.90487,-0.0022806,1
0.55344,0.90487,-0.0022806,1
1.0811,0.078086,0.24859,3
1.0811,0.078086,0.24859,3
1.0811,0.078086,0.24859,3
1.0811,0.078086,0.24859,3
1.0811,0.078086,0.24859,3
1.1163,-0.27789,-0.12771,3
1.1163,-0.27789,-0.12771,3
1.1163,-0.27789,-0.12771,3
1.1163,-0.27789,-0.12771,3
1.1163,-0.27789,-0.12771,3
1.1163,-0.27789,-0.12771,3
1.0811,-0.26641,-0.16192,3
1.0811,-0.26641,-0.16192,3
1.1866,-0.32383,-0.12771,3
1.1866,-0.32383,-0.12771,3
1.1163,-0.28938,-0.15052,3
1.1163,-0.28938,-0.15052,3
1.1163,-0.28938,-0.15052,3
1.2101,-0.32383,-0.11631,3
1.2101,-0.32383,-0.11631,3
1.2101,-0.32383,-0.11631,3
1.2101,-0.32383,-0.11631,3
1.0928,-0.26641,-0.15052,3
1.0928,-0.26641,-0.15052,3
1.0928,-0.26641,-0.15052,3
1.0928,-0.26641,-0.15052,3
1.0928,-0.26641,-0.15052,3
1.0928,-0.26641,-0.15052,3
1.1045,-0.27789,-0.15052,3
1.1045,-0.27789,-0.15052,3
1.1045,-0.27789,-0.15052,3
1.1045,-0.27789,-0.15052,3
1.1045,-0.27789,-0.15052,3
1.0811,-0.25493,-0.16192,3
1.0811,-0.25493,-0.16192,3
1.0811,-0.25493,-0.16192,3
1.0811,-0.25493,-0.16192,3
0.97555,-0.18603,-0.21894,3
0.97555,-0.18603,-0.21894,3
0.97555,-0.18603,-0.21894,3
0.97555,-0.18603,-0.21894,3
0.97555,-0.18603,-0.21894,3
1.0811,-0.25493,-0.15052,3
1.0811,-0.25493,-0.15052,3
1.0811,-0.25493,-0.15052,3
1.0811,-0.25493,-0.15052,3
1.1163,-0.27789,-0.15052,3
1.1163,-0.27789,-0.15052,3
1.1163,-0.27789,-0.15052,3
1.1163,-0.27789,-0.15052,3
1.0811,-0.25493,-0.17333,3
1.0811,-0.25493,-0.17333,3
1.0811,-0.25493,-0.17333,3
1.0459,-0.23196,-0.18473,3
1.0459,-0.23196,-0.18473,3
1.0459,-0.23196,-0.18473,3
1.0459,-0.23196,-0.18473,3
1.0459,-0.23196,-0.18473,3
1.1163,-0.28938,-0.15052,3
1.1163,-0.28938,-0.15052,3
1.1163,-0.28938,-0.15052,3
1.1045,-0.26641,-0.15052,3
1.1045,-0.26641,-0.15052,3
1.1045,-0.26641,-0.15052,3
1.1045,-0.26641,-0.15052,3
1.1045,-0.26641,-0.15052,3
0.58862,0.84746,0.088944,1
0.58862,0.84746,0.088944,1
0.58862,0.84746,0.088944,1
0.58862,0.84746,0.088944,1
0.58862,0.84746,0.088944,1
0.58862,0.84746,0.088944,1
0.58862,0.84746,0.088944,1
0.56517,0.87042,0.054735,1
0.56517,0.87042,0.054735,1
0.56517,0.87042,0.054735,1
0.56517,0.87042,0.054735,1
0.56517,0.87042,0.054735,1
0.61207,0.87042,0.088944,1
0.61207,0.87042,0.088944,1
0.61207,0.87042,0.088944,1
0.61207,0.87042,0.088944,1
0.61207,0.87042,0.088944,1
0.75277,0.83597,0.13456,1
0.75277,0.83597,0.13456,1
0.75277,0.83597,0.13456,1
0.75277,0.83597,0.13456,1
0.64724,0.87042,0.10035,1
0.64724,0.87042,0.10035,1
0.64724,0.87042,0.10035,1
0.64724,0.87042,0.10035,1
0.64724,0.87042,0.10035,1
0.64724,0.87042,0.10035,1
0.56517,0.89339,0.066138,1
0.56517,0.89339,0.066138,1
0.56517,0.89339,0.066138,1
0.56517,0.89339,0.066138,1
0.56517,0.89339,0.066138,1
0.56517,0.89339,0.066138,1
0.56517,0.89339,0.066138,1
0.56517,0.89339,0.066138,1
0.037521,0.82449,-0.025087,4
0.49481,0.81301,-0.025087,4
0.48309,0.91636,-0.025087,2
0.37756,0.98526,-0.093505,2
0.62379,0.87042,0.020525,2
0.33066,1.0197,-0.070699,2
0.33066,1.0197,-0.070699,2
0.43619,0.96229,-0.013684,2
0.43619,0.96229,-0.013684,2
0.56517,0.89339,0.054735,2
0.42446,0.95081,-0.0022806,2
0.45964,0.95081,-0.013684,2
0.50654,0.92784,0.020525,2
0.62379,0.87042,0.077541,2
0.31893,0.99674,-0.070699,2
0.58862,0.88191,0.066138,2
0.47136,0.95081,-0.013684,2
0.47136,0.95081,-0.013684,2
0.64724,0.85894,0.077541,2
0.38928,0.98526,-0.025087,2
0.38928,0.98526,-0.025087,2
0.41273,0.96229,-0.025087,2
0.41273,0.96229,-0.025087,2
0.42446,0.95081,-0.013684,2
0.67069,0.84746,0.10035,2
0.49481,0.92784,0.031928,2
0.68242,0.87042,0.088944,2
0.40101,0.98526,-0.025087,2
0.42446,0.95081,-0.0022806,2
0.42446,0.95081,-0.0022806,2
0.42446,0.95081,-0.0022806,2
0.42446,0.95081,-0.0022806,2
0.41273,0.96229,-0.013684,2
0.41273,0.96229,-0.013684,2
0.50654,0.93932,0.020525,2
0.50654,0.93932,0.020525,2
-0.091458,0.98526,-0.10491,4
-0.091458,0.98526,-0.10491,4
-0.091458,0.98526,-0.10491,4
-0.0093803,0.97377,-0.11631,4
0.014071,0.93932,-0.13912,4
0.17823,1.0197,-0.13912,4
0.15478,1.0886,-0.20754,4
0.23685,0.99674,-0.18473,4
0.23685,1.0771,-0.15052,4
0.41273,0.90487,0.020525,4
0.28376,0.99674,-0.070699,4
0.36583,0.99674,-0.047893,4
0.36583,0.99674,-0.047893,4
0.36583,0.99674,-0.047893,4
0.24858,0.97377,-0.11631,4
0.24858,0.97377,-0.11631,4
0.24858,0.97377,-0.11631,4
0.22513,1.0197,-0.10491,4
0.22513,1.0082,-0.11631,4
0.22513,1.0082,-0.11631,4
0.24858,1.0082,-0.10491,4
0.24858,1.0082,-0.10491,4
0.2134,1.0197,-0.10491,4
0.36583,0.98526,-0.025087,4
0.2603,0.99674,-0.082102,4
0.24858,0.99674,-0.10491,4
0.24858,0.99674,-0.10491,4
0.22513,1.0082,-0.082102,4
0.33066,1.0082,-0.070699,4
0.49481,0.90487,-0.025087,4
0.49481,0.90487,-0.025087,4
0.2134,1.0197,-0.17333,4
0.20168,1.0197,-0.070699,4
0.20168,1.0197,-0.070699,4
0.28376,1.0542,-0.0022806,4
0.28376,1.0542,-0.0022806,4
0.28376,1.0542,-0.0022806,4
0.1196,1.2264,-0.047893,4
0.025796,0.97377,-0.16192,4
-0.38459,1.0082,-0.29876,4
0.64724,0.82449,0.25999,1
0.64724,0.82449,0.25999,1
0.64724,0.82449,0.25999,1
1.1632,-0.36976,0.11175,3
1.1632,-0.36976,0.11175,3
1.1632,-0.36976,0.11175,3
0.9521,-0.12861,-0.17333,3
1.0694,-0.28938,-0.21894,3
0.91693,-0.20899,-0.24174,3
1.1866,-0.33531,-0.15052,3
0.88175,-0.19751,-0.26455,3
0.94038,-0.20899,-0.24174,3
0.91693,-0.19751,-0.27595,3
0.92865,-0.19751,-0.26455,3
0.96383,-0.18603,-0.25315,3
0.92865,-0.19751,-0.26455,3
0.89348,-0.19751,-0.26455,3
1.2218,-0.33531,-0.13912,3
0.94038,-0.20899,-0.26455,3
0.96383,-0.19751,-0.25315,3
0.92865,-0.18603,-0.26455,3
0.96383,-0.19751,-0.25315,3
0.96383,-0.19751,-0.25315,3
0.89348,-0.19751,-0.27595,3
0.96383,-0.18603,-0.26455,3
0.96383,-0.19751,-0.25315,3
0.94038,-0.17454,-0.26455,3
1.0928,-0.26641,-0.18473,3
1.0928,-0.26641,-0.18473,3
0.9521,-0.17454,-0.25315,3
0.99901,-0.17454,-0.24174,3
0.97555,-0.18603,-0.25315,3
0.97555,-0.18603,-0.25315,3
0.98728,-0.18603,-0.25315,3
0.94038,-0.16306,-0.25315,3
0.87003,-0.17454,-0.27595,3
1.0225,-0.20899,-0.21894,3
1.0342,-0.18603,-0.24174,3
0.94038,-0.16306,-0.29876,3
1.0576,0.16995,-0.19613,3
1.0576,0.16995,-0.19613,3
1.0576,0.16995,-0.19613,3
0.34238,0.97377,0.066138,1
0.34238,0.97377,0.066138,1
0.34238,0.97377,0.066138,4
0.97555,-0.22048,-0.23034,3
0.97555,-0.22048,-0.23034,3
0.89348,-0.23196,-0.26455,3
1.1045,-0.32383,-0.19613,3
1.1045,-0.32383,-0.19613,3
1.1983,-0.35827,-0.16192,3
1.1632,-0.34679,-0.15052,3
1.1632,-0.34679,-0.15052,3
0.89348,-0.20899,-0.28736,3
0.89348,-0.20899,-0.28736,3
1.1983,-0.36976,-0.15052,3
0.88175,-0.22048,-0.28736,3
0.88175,-0.22048,-0.28736,3
0.88175,-0.22048,-0.28736,3
1.0694,-0.27789,-0.20754,3
1.0694,-0.27789,-0.20754,3
0.94038,-0.22048,-0.28736,3
0.9052,-0.22048,-0.28736,3
0.9052,-0.22048,-0.28736,3
0.9052,-0.22048,-0.28736,3
0.9052,-0.22048,-0.28736,3
1.0694,-0.27789,-0.21894,3
1.0694,-0.27789,-0.21894,3
1.0694,-0.27789,-0.21894,3
0.88175,-0.22048,-0.29876,3
1.1163,-0.31234,-0.20754,3
1.3156,-0.38124,-0.11631,3
1.3156,-0.38124,-0.11631,3
0.89348,-0.22048,-0.27595,3
0.91693,-0.20899,-0.27595,3
1.2687,-0.38124,-0.12771,3
1.0225,-0.26641,-0.21894,3
1.3156,-0.39272,-0.11631,3
1.1397,-0.31234,-0.16192,3
0.9521,-0.20899,-0.27595,3
0.9521,-0.20899,-0.27595,3
1.257,-0.38124,-0.13912,3
1.2452,-0.36976,-0.13912,3
0.89348,-0.20899,-0.28736,3
1.0342,-0.25493,-0.21894,3
1.0342,-0.25493,-0.21894,3
0.94038,-0.19751,-0.27595,3
1.2452,-0.35827,-0.12771,3
1.0342,-0.25493,-0.23034,3
1.2921,-0.38124,-0.10491,3
0.96383,-0.22048,-0.25315,3
1.2218,-0.35827,-0.15052,3
1.2687,-0.36976,-0.13912,3
0.9052,-0.22048,-0.29876,3
0.89348,-0.19751,-0.28736,3
1.0576,-0.25493,-0.23034,3
0.88175,-0.20899,-0.29876,3
0.87003,-0.22048,-0.29876,3
0.87003,-0.22048,-0.29876,3
0.9521,-0.22048,-0.26455,3
0.88175,-0.22048,-0.28736,3
1.0928,-0.30086,-0.20754,3
1.0459,-0.24344,-0.23034,3
0.9052,-0.19751,-0.27595,3
0.9052,-0.19751,-0.27595,3
0.87003,-0.20899,-0.28736,3
0.88175,-0.20899,-0.28736,3
1.0342,-0.25493,-0.24174,3
1.3156,-0.39272,-0.11631,3
1.3156,-0.39272,-0.11631,3
1.0342,-0.27789,-0.24174,3
0.94038,-0.20899,-0.28736,3
1.2687,-0.36976,-0.12771,3
0.8583,0.16995,-0.082102,3
0.8114,0.62928,-0.13912,1
0.8114,0.62928,-0.13912,1
0.8114,0.62928,-0.13912,1
0.8114,0.62928,-0.13912,1
0.8114,0.62928,-0.13912,1
0.67069,0.84746,0.020525,1
0.67069,0.84746,0.020525,1
0.67069,0.84746,0.020525,1
0.67069,0.84746,0.020525,1
0.57689,0.89339,-0.025087,1
0.57689,0.89339,-0.025087,1
0.57689,0.89339,-0.025087,1
0.57689,0.89339,-0.025087,1
0.57689,0.89339,-0.025087,1
0.57689,0.89339,-0.025087,1
0.57689,0.89339,-0.025087,1
0.61207,0.88191,-0.013684,1
0.61207,0.88191,-0.013684,1
0.61207,0.88191,-0.013684,1
0.61207,0.88191,-0.013684,1
0.61207,0.88191,-0.013684,1
0.61207,0.88191,-0.013684,1
0.61207,0.88191,-0.013684,1
0.61207,0.88191,-0.013684,1
-0.22044,0.92784,0.12315,4
-0.22044,0.92784,0.12315,4
